TFR,SIZE,PDI,FRR
0.25,117.567,0.327,3.0
1.0,124.403,0.403,3.0
0.25,169.247,0.531,50.0
1.0,73.088,0.238,3.0
1.0,141.591,0.597,50.0
0.25,135.642,0.428,50.0
1.0,242.045,0.591,3.0
1.0,19.897,0.443,50.0
1.0,593.99,0.61,50.0
0.25,138.894,0.49,50.0
0.25,325.634,0.489,3.0
0.25,277.332,0.735,3.0
1.0,52.067,0.26,50.0
0.25,101.454,0.35,50.0
1.0,77.448,0.233,3.0
0.25,177.522,0.431,50.0
0.25,255.405,0.783,3.0
1.0,198.619,0.519,3.0
0.25,131.205,0.38,50.0
0.25,351.504,0.558,3.0
0.25,135.609,0.369,3.0
1.0,146.776,0.44,3.0
1.0,125.959,0.339,50.0
1.0,102.376,0.385,50.0
0.25,116.839,0.082,3.0
1.0,1929.916,0.842,3.0
0.25,133.051,0.186,50.0
1.0,91.433,0.1,3.0
1.0,700.845,0.681,50.0
0.25,122.961,0.236,50.0
1.0,163.558,0.316,3.0
1.0,69.723,0.067,50.0
1.0,1794.372,0.936,50.0
0.25,301.615,0.521,50.0
0.25,1242.327,0.826,3.0
0.25,2100.262,0.999,3.0
1.0,1787.444,0.994,50.0
0.25,133.599,0.269,50.0
1.0,2254.269,1.0,3.0
0.25,731.331,0.991,50.0
0.25,571.168,0.558,3.0
1.0,554.177,0.595,3.0
0.25,109.153,0.284,50.0
0.25,6478.919,1.0,3.0
0.25,108.176,0.106,3.0
1.0,116.98,0.128,3.0
1.0,70.824,0.118,50.0
1.0,85.425,0.145,50.0
0.71,111.287,0.294,2.0
0.71,104.721,0.372,23.0
2.04,77.048,0.221,2.0
2.04,79.661,0.268,23.0
0.71,92.827,0.188,2.0
0.71,83.507,0.278,23.0
2.04,72.548,0.268,2.0
2.04,74.122,0.309,23.0
1.37,133.264,0.39,1.0
1.37,81.069,0.312,50.0
0.25,108.6,0.284,7.0
2.5,77.533,0.291,7.0
1.37,86.352,0.269,7.0
1.37,68.453,0.282,7.0
1.37,70.038,0.234,7.0
1.37,68.102,0.246,7.0
1.37,69.696,0.243,7.0
1.37,68.133,0.235,7.0
1.37,64.529,0.234,7.0
1.37,68.966,0.232,7.0
0.71,87.575,0.327,2.0
0.71,109.953,0.476,23.0
2.04,86.444,0.343,2.0
2.04,94.499,0.355,23.0
0.71,93.444,0.183,2.0
0.71,85.915,0.258,23.0
2.04,62.883,0.198,2.0
2.04,71.617,0.292,23.0
1.37,139.797,0.387,1.0
1.37,92.98,0.361,50.0
0.25,124.162,0.316,7.0
2.5,73.083,0.334,7.0
1.37,96.016,0.284,7.0
1.37,67.366,0.273,7.0
1.37,71.926,0.295,7.0
1.37,81.85,0.335,7.0
1.37,78.159,0.326,7.0
1.37,72.999,0.295,7.0
1.37,73.901,0.327,7.0
1.37,76.205,0.354,7.0
0.71,130.717,0.402,2.0
0.71,102.022,0.354,23.0
2.04,93.195,0.262,2.0
2.04,93.161,0.376,23.0
0.71,96.056,0.164,2.0
0.71,77.87,0.242,23.0
2.04,67.582,0.145,2.0
2.04,73.816,0.265,23.0
1.37,147.172,0.392,1.0
1.37,94.633,0.38,50.0
0.25,122.904,0.317,7.0
2.5,74.457,0.285,7.0
1.37,85.58,0.333,7.0
1.37,67.136,0.219,7.0
1.37,77.267,0.271,7.0
1.37,76.796,0.276,7.0
1.37,76.921,0.273,7.0
1.37,73.733,0.286,7.0
1.37,76.425,0.288,7.0
1.37,77.503,0.278,7.0
1.375,70.04,0.171,3.5002575415843395
2.5,57.7,0.196,3.5002575415843395
1.375,90.63,0.14,1.0
2.5,90.31,0.13,1.0
1.375,71.77,0.202,3.5002575415843395
2.5,57.03,0.219,3.467368504525317
1.375,105.7,0.18,1.0
2.5,108.9,0.217,1.0
0.25,103.9,0.126,1.0
0.25,119.8,0.164,3.467368504525317
0.7060709978109694,,0.726,1.8107928849972788
0.7060709978109694,132.463,0.052,1.8107928849972788
2.0439290021890306,4941.821,1.0,1.8107928849972788
2.0439290021890306,118.758,0.04,1.8107928849972788
0.7060709978109694,570.792,0.595,4.189207115002722
0.7060709978109694,107.632,0.051,4.189207115002722
2.0439290021890306,194.774,0.204,4.189207115002722
2.0439290021890306,89.206,0.083,4.189207115002722
1.375,7297.414,1.0,3.0
1.375,88.68,0.08,3.0
0.25,189.471,0.213,3.0
2.5,157.52,0.064,3.0
1.375,409.523,0.453,
1.375,124.934,0.048,5.0
1.375,162.675,0.119,3.0
1.375,154.375,0.072,3.0
1.375,160.902,0.07,3.0
1.375,165.879,0.074,3.0
1.375,169.422,0.051,3.0
1.375,162.092,0.065,3.0
0.7060709978109694,834.01,0.856,1.8107928849972788
0.7060709978109694,124.618,0.03,1.8107928849972788
2.0439290021890306,8973.734,0.832,1.8107928849972788
2.0439290021890306,111.634,0.051,1.8107928849972788
0.7060709978109694,622.999,0.643,4.189207115002722
0.7060709978109694,106.201,0.066,4.189207115002722
2.0439290021890306,184.984,0.149,4.189207115002722
2.0439290021890306,84.319,0.059,4.189207115002722
1.375,4813.381,1.0,3.0
1.375,86.863,0.089,3.0
0.25,180.646,0.132,3.0
2.5,146.835,0.029,3.0
1.375,298.881,0.558,
1.375,137.567,0.034,5.0
1.375,182.155,0.099,3.0
1.375,176.58,0.101,3.0
1.375,127.517,0.042,3.0
1.375,179.011,0.141,3.0
1.375,167.896,0.114,3.0
1.375,177.175,0.16,3.0
0.7060709978109694,,0.74,1.8107928849972788
0.7060709978109694,125.356,0.071,1.8107928849972788
2.0439290021890306,5257.868,1.0,1.8107928849972788
2.0439290021890306,118.454,0.08,1.8107928849972788
0.7060709978109694,623.865,0.569,4.189207115002722
0.7060709978109694,107.586,0.059,4.189207115002722
2.0439290021890306,198.087,0.236,4.189207115002722
2.0439290021890306,86.184,0.061,4.189207115002722
1.375,3062.225,0.973,3.0
1.375,85.607,0.066,3.0
0.25,190.929,0.271,3.0
2.5,147.238,0.042,3.0
1.375,543.031,0.573,
1.375,130.699,0.037,5.0
1.375,196.919,0.179,3.0
1.375,168.994,0.087,3.0
1.375,181.41,0.143,3.0
1.375,163.213,0.091,3.0
1.375,175.564,0.162,3.0
1.375,162.168,0.086,3.0
1.375,84.04,0.09,3.5002575415843395
2.5,84.46,0.067,3.5002575415843395
1.375,110.4,0.043,1.0
2.5,105.3,0.063,1.0
1.375,98.5,0.054,3.5002575415843395
2.5,85.85,0.066,3.467368504525317
1.375,129.1,0.029,1.0
2.5,129.3,0.045,1.0
0.58,125.56,0.263,1.6
2.17,87.316,0.168,1.6
0.58,95.927,0.219,4.4
2.17,67.343,0.242,4.4
0.25,129.236,0.334,3.0
2.5,68.868,0.23,3.0
1.375,149.89,0.421,1.0
1.375,76.973,0.241,4.4
1.375,80.278,0.231,3.0
1.375,80.541,0.212,3.0
1.375,77.848,0.228,3.0
1.375,77.339,0.229,3.0
1.375,78.537,0.223,3.0
0.58,141.851,0.334,1.6
2.17,100.593,0.152,1.6
0.58,103.514,0.306,4.4
2.17,66.039,0.243,4.4
0.25,148.899,0.356,3.0
2.5,66.672,0.27,3.0
1.375,158.663,0.4,1.0
1.375,76.545,0.261,4.4
1.375,81.475,0.248,3.0
1.375,83.866,0.251,3.0
1.375,85.223,0.262,3.0
1.375,80.004,0.233,3.0
1.375,83.696,0.257,3.0
0.58,136.684,0.307,1.6
2.17,107.924,0.174,1.6
0.58,102.589,0.262,4.4
2.17,63.026,0.246,4.4
0.25,131.852,0.295,3.0
2.5,65.3,0.272,3.0
1.375,157.64,0.409,1.0
1.375,75.772,0.254,4.4
1.375,80.386,0.256,3.0
1.375,76.14,0.247,3.0
1.375,78.939,0.251,3.0
1.375,155.532,0.297,3.0
1.375,75.29,0.214,3.0
2.17,91.341,0.2,1.727
2.17,96.467,0.2,1.727
2.17,83.115,0.203,1.727
0.58,230.059,0.349,1.6
2.17,298.002,0.263,1.6
0.58,157.882,0.088,4.4
2.17,125.303,0.065,4.4
0.25,183.962,0.16,3.0
2.5,155.385,0.054,3.0
1.375,232.108,0.322,1.0
1.375,125.924,0.058,5.0
1.375,169.717,0.119,3.0
1.375,164.343,0.091,3.0
1.375,162.206,0.121,3.0
1.375,160.342,0.095,3.0
1.375,158.912,0.087,3.0
0.58,189.764,0.195,1.6
2.17,229.416,0.244,1.6
0.58,140.386,0.047,4.4
2.17,117.314,0.046,4.4
0.25,167.216,0.071,3.0
2.5,137.968,0.05,3.0
1.375,240.863,0.252,1.0
1.375,115.891,0.07,5.0
1.375,139.586,0.08,3.0
1.375,141.538,0.064,3.0
1.375,139.883,0.062,3.0
1.375,139.657,0.065,3.0
1.375,146.755,0.081,3.0
0.58,220.699,0.271,1.6
2.17,303.927,0.274,1.6
0.58,159.526,0.071,4.4
2.17,125.978,0.027,4.4
0.25,191.239,0.132,3.0
2.5,158.28,0.059,3.0
1.375,236.083,0.26,1.0
1.375,130.988,0.044,5.0
1.375,160.969,0.082,3.0
1.375,158.593,0.085,3.0
1.375,161.035,0.061,3.0
1.375,171.769,0.111,3.0
1.375,161.298,0.103,3.0
2.5,114.922,0.056,5.0
2.5,109.23,0.05,5.0
2.5,107.303,0.055,5.0
1.75,81.0,0.112,3.0
1.0,79.0,0.109,10.0
2.0,98.0,0.152,7.0
1.4,118.0,0.205,4.7
1.0,160.0,0.239,3.0
