ML,CHIP,AQUEOUS,FRR,SIZE,PDI,TFR,ESM,HSPC,CHOL,PEG
HSPC,Micromixer,MQ,0,1,2,0,0,0,0,1
HSPC,Micromixer,MQ,0,1,3,1,0,2,0,4
HSPC,Droplet,MQ,2,2,3,0,0,2,1,3
HSPC,Micromixer,PBS,0,0,1,1,0,0,0,1
HSPC,Micromixer,MQ,2,1,3,1,0,2,0,4
HSPC,Micromixer,PBS,2,1,3,0,0,2,1,3
HSPC,Droplet,PBS,0,3,3,1,0,2,1,3
HSPC,Droplet,MQ,2,0,3,1,0,0,0,1
HSPC,Droplet,PBS,2,3,3,1,0,0,0,1
HSPC,Micromixer,PBS,2,1,3,0,0,0,0,1
HSPC,Droplet,PBS,0,3,3,0,0,2,0,4
HSPC,Droplet,MQ,0,3,3,0,0,0,0,1
HSPC,Droplet,PBS,2,0,2,1,0,2,0,4
HSPC,Droplet,PBS,2,1,2,0,0,0,0,1
HSPC,Micromixer,PBS,0,0,1,1,0,0,0,1
HSPC,Droplet,MQ,2,2,3,0,0,2,0,4
HSPC,Droplet,PBS,0,3,3,0,0,0,0,1
HSPC,Droplet,MQ,0,2,3,1,0,0,0,1
HSPC,Micromixer,MQ,2,1,3,0,0,0,0,1
HSPC,Micromixer,PBS,0,3,3,0,0,2,0,4
HSPC,Micromixer,MQ,0,1,3,0,0,2,1,3
HSPC,Droplet,MQ,0,1,3,1,0,2,1,3
HSPC,Micromixer,MQ,2,1,2,1,0,0,0,1
HSPC,Micromixer,PBS,2,1,3,1,0,2,1,3
ESM,Micromixer,MQ,0,1,0,0,1,0,2,0
ESM,Micromixer,MQ,0,3,3,1,4,0,0,0
ESM,Droplet,MQ,2,1,1,0,4,0,3,0
ESM,Micromixer,PBS,0,0,0,1,1,0,2,0
ESM,Micromixer,MQ,2,3,3,1,4,0,0,0
ESM,Micromixer,PBS,2,1,1,0,4,0,3,0
ESM,Droplet,PBS,0,2,2,1,4,0,3,0
ESM,Droplet,MQ,2,0,0,1,1,0,2,0
ESM,Droplet,PBS,2,3,3,1,1,0,0,0
ESM,Micromixer,PBS,2,3,3,0,1,0,0,0
ESM,Droplet,PBS,0,3,3,0,4,0,0,0
ESM,Droplet,MQ,0,3,3,0,1,0,0,0
ESM,Droplet,PBS,2,3,3,1,4,0,0,0
ESM,Droplet,PBS,2,1,2,0,1,0,2,0
ESM,Micromixer,PBS,0,3,3,1,1,0,0,0
ESM,Droplet,MQ,2,3,3,0,4,0,0,0
ESM,Droplet,PBS,0,3,3,0,1,0,2,0
ESM,Droplet,MQ,0,3,3,1,1,0,0,0
ESM,Micromixer,MQ,2,1,2,0,1,0,0,0
ESM,Micromixer,PBS,0,3,3,0,4,0,0,0
ESM,Micromixer,MQ,0,1,0,0,4,0,3,0
ESM,Droplet,MQ,0,1,0,1,4,0,3,0
ESM,Micromixer,MQ,2,0,0,1,1,0,2,0
ESM,Micromixer,PBS,2,0,1,1,4,0,3,0
HSPC,Micromixer,MQ,0,1,2,1,0,2,0,4
HSPC,Micromixer,MQ,1,1,3,1,0,2,0,4
HSPC,Micromixer,MQ,0,0,1,3,0,2,0,4
HSPC,Micromixer,MQ,1,0,2,3,0,2,0,4
HSPC,Micromixer,MQ,0,0,1,1,0,2,2,3
HSPC,Micromixer,MQ,1,0,2,1,0,2,2,3
HSPC,Micromixer,MQ,0,0,2,3,0,2,2,3
HSPC,Micromixer,MQ,1,0,2,3,0,2,2,3
HSPC,Micromixer,MQ,0,1,3,2,0,2,1,3
HSPC,Micromixer,MQ,2,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,4,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,0,4
HSPC,Micromixer,MQ,0,0,2,2,0,1,3,2
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,1,0,2,0,4
HSPC,Micromixer,MQ,1,1,3,1,0,2,0,4
HSPC,Micromixer,MQ,0,0,2,3,0,2,0,4
HSPC,Micromixer,MQ,1,0,3,3,0,2,0,4
HSPC,Micromixer,MQ,0,0,1,1,0,2,2,3
HSPC,Micromixer,MQ,1,0,2,1,0,2,2,3
HSPC,Micromixer,MQ,0,0,1,3,0,2,2,3
HSPC,Micromixer,MQ,1,0,2,3,0,2,2,3
HSPC,Micromixer,MQ,0,1,3,2,0,2,1,3
HSPC,Micromixer,MQ,2,0,3,2,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,4,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,0,4
HSPC,Micromixer,MQ,0,0,2,2,0,1,3,2
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,3,2,0,2,1,3
HSPC,Micromixer,MQ,0,1,3,1,0,2,0,4
HSPC,Micromixer,MQ,1,1,3,1,0,2,0,4
HSPC,Micromixer,MQ,0,0,2,3,0,2,0,4
HSPC,Micromixer,MQ,1,0,3,3,0,2,0,4
HSPC,Micromixer,MQ,0,0,1,1,0,2,2,3
HSPC,Micromixer,MQ,1,0,1,1,0,2,2,3
HSPC,Micromixer,MQ,0,0,1,3,0,2,2,3
HSPC,Micromixer,MQ,1,0,2,3,0,2,2,3
HSPC,Micromixer,MQ,0,1,3,2,0,2,1,3
HSPC,Micromixer,MQ,2,0,3,2,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,4,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,0,4
HSPC,Micromixer,MQ,0,0,1,2,0,1,3,2
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,1,3,2
HSPC,Micromixer,MQ,0,0,1,4,0,1,3,2
HSPC,Micromixer,MQ,0,0,1,2,0,1,3,2
HSPC,Micromixer,MQ,0,0,0,4,0,1,3,2
HSPC,Micromixer,MQ,0,0,1,2,0,2,2,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,2,3
HSPC,Micromixer,MQ,0,1,1,2,0,2,2,3
HSPC,Micromixer,MQ,0,1,1,4,0,2,2,3
HSPC,Micromixer,MQ,0,1,0,0,0,2,2,3
HSPC,Micromixer,MQ,0,1,1,0,0,2,2,3
ESM,Micromixer,MQ,0,1,0,1,2,0,3,0
ESM,Micromixer,MQ,0,3,3,3,3,0,0,0
ESM,Micromixer,MQ,0,1,0,3,2,0,3,0
ESM,Micromixer,MQ,0,3,3,1,3,0,0,0
ESM,Micromixer,MQ,0,1,0,1,2,0,3,0
ESM,Micromixer,MQ,0,2,1,3,3,0,0,0
ESM,Micromixer,MQ,0,0,0,3,2,0,3,0
ESM,Micromixer,MQ,0,3,3,2,4,0,0,0
ESM,Micromixer,MQ,0,0,0,2,2,0,4,0
ESM,Micromixer,MQ,0,2,1,0,3,0,2,0
ESM,Micromixer,MQ,0,2,0,4,3,0,2,0
ESM,Micromixer,MQ,0,1,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,3,3,1,3,0,0,0
ESM,Micromixer,MQ,0,1,0,1,2,0,3,0
ESM,Micromixer,MQ,0,3,3,3,3,0,0,0
ESM,Micromixer,MQ,0,1,0,3,2,0,3,0
ESM,Micromixer,MQ,0,3,3,1,3,0,0,0
ESM,Micromixer,MQ,0,1,0,1,2,0,3,0
ESM,Micromixer,MQ,0,2,1,3,3,0,0,0
ESM,Micromixer,MQ,0,0,0,3,2,0,3,0
ESM,Micromixer,MQ,0,3,3,2,4,0,0,0
ESM,Micromixer,MQ,0,0,0,2,2,0,4,0
ESM,Micromixer,MQ,0,2,0,0,3,0,2,0
ESM,Micromixer,MQ,0,1,0,4,3,0,2,0
ESM,Micromixer,MQ,0,1,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,1,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,1,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,1,2,3,0,2,0
ESM,Micromixer,MQ,0,1,0,1,2,0,3,0
ESM,Micromixer,MQ,0,3,3,3,3,0,0,0
ESM,Micromixer,MQ,0,1,0,3,2,0,3,0
ESM,Micromixer,MQ,0,3,3,1,3,0,0,0
ESM,Micromixer,MQ,0,1,0,1,2,0,3,0
ESM,Micromixer,MQ,0,2,1,3,3,0,0,0
ESM,Micromixer,MQ,0,0,0,3,2,0,3,0
ESM,Micromixer,MQ,0,3,3,2,4,0,0,0
ESM,Micromixer,MQ,0,0,0,2,2,0,4,0
ESM,Micromixer,MQ,0,2,2,0,3,0,2,0
ESM,Micromixer,MQ,0,1,0,4,3,0,2,0
ESM,Micromixer,MQ,0,1,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,1,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,1,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,2,1,2,3,0,2,0
ESM,Micromixer,MQ,0,2,0,2,3,0,2,0
ESM,Micromixer,MQ,0,0,0,2,2,0,4,0
ESM,Micromixer,MQ,0,0,0,4,2,0,4,0
ESM,Micromixer,MQ,0,1,0,2,2,0,4,0
ESM,Micromixer,MQ,0,1,0,4,2,0,4,0
ESM,Micromixer,MQ,0,0,0,2,2,0,3,0
ESM,Micromixer,MQ,0,0,0,4,2,0,3,0
ESM,Micromixer,MQ,0,1,0,2,2,0,3,0
ESM,Micromixer,MQ,0,1,0,4,2,0,3,0
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,1,3,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,1,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,1,3,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,4,0,2,1,3
HSPC,Micromixer,MQ,0,2,3,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,1,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,4,0,2,1,3
HSPC,Micromixer,MQ,0,1,2,0,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,4,0,2,1,3
HSPC,Micromixer,MQ,0,2,3,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,2,2,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,2,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
HSPC,Micromixer,MQ,0,0,1,4,0,2,1,3
ESM,Micromixer,MQ,0,3,2,0,4,0,4,0
ESM,Micromixer,MQ,0,3,2,4,4,0,4,0
ESM,Micromixer,MQ,0,2,0,0,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,2,1,0,4,0,4,0
ESM,Micromixer,MQ,0,2,0,4,4,0,4,0
ESM,Micromixer,MQ,0,3,2,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,1,0,4,0,4,0
ESM,Micromixer,MQ,0,3,2,4,4,0,4,0
ESM,Micromixer,MQ,0,1,0,0,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,2,0,0,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,3,2,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,3,2,0,4,0,4,0
ESM,Micromixer,MQ,0,3,2,4,4,0,4,0
ESM,Micromixer,MQ,0,2,0,0,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,2,0,0,4,0,4,0
ESM,Micromixer,MQ,0,2,0,4,4,0,4,0
ESM,Micromixer,MQ,0,3,2,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,2,0,2,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,1,0,4,4,0,4,0
ESM,Micromixer,MQ,0,0,0,3,0,0,0,0
ESM,Micromixer,MQ,0,0,0,1,0,0,0,0
ESM,Micromixer,PBS,0,0,1,3,0,0,1,0
ESM,Micromixer,PBS,0,1,1,2,0,0,1,0
ESM,Micromixer,PBS,0,2,1,1,0,0,1,0
